brand_name,Price,discount,image_url,Reviews_rating,Reviews_count
JIYUE JIYUE Flash Drive 3.0 128GB Metal OTG Micro USB Type-C,2296,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/818692/1.jpg?1412,3.4,185
Canon Cartouche D'entretien MC-G02 Pour Canon PIXMA G3560 G3520 G2560 ...,7100,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/845772/1.jpg?2385,4.0,100
Multi HUB Splitter D'extension USB 3.0 à Haute Vitesse 4 Ports USB 3.0,1950,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/742972/1.jpg?2005,3.7,126
Tapis Souris Avec Pose Poignet Doux Et Confortable En Mousse,1240,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/524652/1.jpg?7437,4.0,66
Casque Bluetooth Sans Fil Casque antibruit avec batterie 650 mAh,7700,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/052872/1.jpg?0232,4.1,100
Toshiba Disque Dur Externe - 500 Go USB 3.0- Noir De Haute Qualité,14500,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/761952/1.jpg?9849,3.9,129
Lumineuse Souris Sans Fil - 2.4G - Noir-DR-SHUBIAO-03,1625,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/412291/1.jpg?5161,4.2,302
Lenovo V15 G2 IJL Ordinateur portable 4GB / 256 SSD / Celeron,130000,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/109713/1.jpg?6307,4.0,3
ANTHO Clavier USB Filaire - Antho13 - Francais - Azerty - Alphanumériq...,4600,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/968303/1.jpg?1107,3.9,48
Adaptateur mini WiFi USB - Récepteur WiFi réseau sans fil USB Ethernet...,2335,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/055422/1.jpg?5225,4.1,420
UWY Clé USB 128GB & Spéciaux Clé USB TV 16G,4312,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/551912/1.jpg?7177,3.6,439
Sans Fil Bluetooth Clavier Applicable Téléphone Tablette - Version A-Z...,3120,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/029662/1.jpg?9725,3.8,108
Souris LED colorée 2.4G rechargeable - Noir,1750,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/076213/1.jpg?2210,3.5,12
USB 3.0 Type-C 3-in-1 OTG Card Reader For Phone & Computer,1650,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/752713/1.jpg?9903,3.0,1
Epson EcoTank L3250 Imprimante multifonction à réservoirs rechargeable...,85000,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/018713/1.jpg?9243,4.1,31
DELL Mini Latitude 3189 X360 - Dual Core - 4GB RAM - 256GB SSD - Écran...,111300,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/898992/1.jpg?4844,3.1,15
Kit Recharge D'Encre 4 Couleurs - Noir/Rouge/Jaune/Bleu - Pour Canon G...,5100,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/311582/1.jpg?3987,4.1,133
"VIC ✪ Clés USB Métalliques 512GB USB3.0 Portables, Imperméables",6485,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/043813/1.jpg?9442,3.0,2
Souris Sans Fil 2.4G Rechargeable 5.2 Bluetooth Silencieuse,3990,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/430872/1.jpg?9809,4.1,118
Casque Pliable Bluetooth Sans Fil à Réduction De Bruit - Gris / Blanc,3975,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/750872/1.jpg?5318,3.7,60
