Brand_name,Price,Discount,Reviews,Image
USB 3.0 Type-C 3-in-1 OTG Card Reader For Phone & Computer,1650,5%,3 out of 5(1),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/752713/1.jpg?9903
Epson EcoTank L3250 Imprimante multifonction à réservoirs rechargeable...,85000,5%,4.1 out of 5(31),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/018713/1.jpg?9243
DELL Mini Latitude 3189 X360 - Dual Core - 4GB RAM - 256GB SSD - Écran...,111300,5%,3.1 out of 5(15),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/898992/1.jpg?4844
Kit Recharge D'Encre 4 Couleurs - Noir/Rouge/Jaune/Bleu - Pour Canon G...,5100,5%,4.1 out of 5(133),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/311582/1.jpg?3987
"VIC ✪ Clés USB Métalliques 512GB USB3.0 Portables, Imperméables",6485,5%,3 out of 5(2),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/043813/1.jpg?9442
Souris Sans Fil 2.4G Rechargeable 5.2 Bluetooth Silencieuse,3990,5%,4.1 out of 5(118),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/430872/1.jpg?9809
Casque Pliable Bluetooth Sans Fil à Réduction De Bruit - Gris / Blanc,3975,5%,3.7 out of 5(60),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/750872/1.jpg?5318
Clé USB 3-en-1 Rotative 128G - Violet,3345,5%,3.5 out of 5(29),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/801103/1.jpg?8092
"Supports pour ordinateurs portables portables ajustables, support plia...",1120,5%,4.6 out of 5(9),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/903403/1.jpg?2469
Routeur 4G Modem sans fil Lte Wifi routeur de carte Sim Hotspot de poc...,14630,5%,3.8 out of 5(26),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/868692/1.jpg?5083
GtyGo Sac à dos de voyage pour ordinateur portable anti-vol noir,5649,5%,3.4 out of 5(205),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/539713/1.jpg?3702
Support Téléphonique Portable Pour Ordinateur Portable Deux En Un 3 In...,2479,5%,3.9 out of 5(190),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/501492/1.jpg?7082
Tapis De Souris Noir 22*18*0.15cm-Noir,970,5%,4.1 out of 5(25),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/852403/1.jpg?0373
