brand_name,Price,discount,Reviews,image_url,Reviews_rating,Reviews_count
ANTHO Clavier USB Filaire - Antho13 - Francais - Azerty - Alphanumériq...,4600.0,5%,3.9 out of 5(48),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/968303/1.jpg?1107,3.9,48.0
Adaptateur mini WiFi USB - Récepteur WiFi réseau sans fil USB Ethernet...,2335.0,5%,4.1 out of 5(420),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/055422/1.jpg?5225,4.1,420.0
UWY Clé USB 128GB & Spéciaux Clé USB TV 16G,4312.0,5%,3.6 out of 5(439),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/551912/1.jpg?7177,3.6,439.0
Sans Fil Bluetooth Clavier Applicable Téléphone Tablette - Version A-Z...,3120.0,5%,3.8 out of 5(108),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/029662/1.jpg?9725,3.8,108.0
Souris LED colorée 2.4G rechargeable - Noir,1750.0,5%,3.5 out of 5(12),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/076213/1.jpg?2210,3.5,12.0
USB 3.0 Type-C 3-in-1 OTG Card Reader For Phone & Computer,1650.0,5%,3 out of 5(1),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/752713/1.jpg?9903,3.0,1.0
Epson EcoTank L3250 Imprimante multifonction à réservoirs rechargeable...,85000.0,5%,4.1 out of 5(31),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/018713/1.jpg?9243,4.1,31.0
DELL Mini Latitude 3189 X360 - Dual Core - 4GB RAM - 256GB SSD - Écran...,111300.0,5%,3.1 out of 5(15),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/898992/1.jpg?4844,3.1,15.0
Kit Recharge D'Encre 4 Couleurs - Noir/Rouge/Jaune/Bleu - Pour Canon G...,5100.0,5%,4.1 out of 5(133),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/311582/1.jpg?3987,4.1,133.0
"VIC ✪ Clés USB Métalliques 512GB USB3.0 Portables, Imperméables",6485.0,5%,3 out of 5(2),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/043813/1.jpg?9442,3.0,2.0
Souris Sans Fil 2.4G Rechargeable 5.2 Bluetooth Silencieuse,3990.0,5%,4.1 out of 5(118),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/430872/1.jpg?9809,4.1,118.0
Casque Pliable Bluetooth Sans Fil à Réduction De Bruit - Gris / Blanc,3975.0,5%,3.7 out of 5(60),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/750872/1.jpg?5318,3.7,60.0
Clé USB 3-en-1 Rotative 128G - Violet,3345.0,5%,3.5 out of 5(29),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/801103/1.jpg?8092,3.5,29.0
"Supports pour ordinateurs portables portables ajustables, support plia...",1120.0,5%,4.6 out of 5(9),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/903403/1.jpg?2469,4.6,9.0
Routeur 4G Modem sans fil Lte Wifi routeur de carte Sim Hotspot de poc...,14630.0,5%,3.8 out of 5(26),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/868692/1.jpg?5083,3.8,26.0
GtyGo Sac à dos de voyage pour ordinateur portable anti-vol noir,5649.0,5%,3.4 out of 5(205),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/539713/1.jpg?3702,3.4,205.0
Support Téléphonique Portable Pour Ordinateur Portable Deux En Un 3 In...,2479.0,5%,3.9 out of 5(190),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/501492/1.jpg?7082,3.9,190.0
Tapis De Souris Noir 22*18*0.15cm-Noir,970.0,5%,4.1 out of 5(25),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/852403/1.jpg?0373,4.1,25.0
10’‘Sans Fil Bluetooth Clavier Applicable Téléphone Tablette,3107.0,5%,3.9 out of 5(19),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/339003/1.jpg?2228,3.9,19.0
RichRipple Souris filaire à LED colorées - Souris bureautique ergonomi...,1482.0,5%,3.8 out of 5(39),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/735103/1.jpg?3209,3.8,39.0
Canon Imprimante à Réservoir G2430 - G2410 - G2411 - Impression - Copi...,66900.0,5%,4.8 out of 5(5),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/952613/1.jpg?2490,4.8,5.0
